ID, ITEM, STOCK, PRICE,
1, Bananas,57,28,
2, Apples,0,49,
3, Oranges,13,49,
4, Mandarins,57,41,
5, Grapes,70,3,
6, Strawberries,70,20,
7, Blueberries,69,37,
8, Raspberries,41,7,
9, Blackberries,41,60,
10, Watermelon,70,1,
11, Cantaloupe,93,33,
12, Honeydew melon,0,21,
13, Pineapple,1,39,
14, Lemons,15,38,
15, Limes,42,49,
16, Avocados,88,3,
17, Tomatoes,8,16,
18, Potatoes,27,38,
19, Sweet potatoes,43,4,
20, Onions,64,41,
21, Garlic bulbs,43,6,
22, Bell peppers,38,29,
23, Jalapeño peppers,35,45,
24, Cucumbers,89,52,
25, Zucchini,99,56,
26, Yellow squash,43,42,
27, Broccoli,31,35,
28, Cauliflower,8,41,
29, Carrots,57,53,
30, Baby carrots,73,20,
31, Celery,0,55,
32, Lettuce,34,55,
33, Spinach,84,38,
34, Kale,32,7,
35, Cabbage,20,35,
36, Chicken,65,4,
37, Ground beef,65,40,
38, Steak,66,27,
39, Pork,87,54,
40, Bacon,51,54,
41, Breakfast sausage,54,47,
42, Hot dogs,40,1,
43, Ham,44,63,
44, Turkey,0,6,
45, Salami,58,41,
46, Pepperoni,34,51,
47, Frozen chicken nuggets,80,20,
48, Frozen chicken tenders,9,67,
49, Frozen hamburger patties,31,50,
50, Frozen meatballs,26,56,
51, Frozen pizza,83,42,
52, Frozen fish sticks,63,45,
53, Frozen shrimp,9,65,
54, Tilapia fillets,99,24,
55, Salmon fillets,40,3,
56, Milk,60,63,
57, Heavy cream,19,61,
58, Half and half,93,40,
59, Butter,72,36,
60, Margarine,72,9,
61, Eggs,32,17,
62, Cheddar cheese,95,23,
63, Mozzarella,69,20,
64, Parmesan cheese,56,39,
65, Cream cheese,0,23,
66, Sour cream,54,49,
67, Greek yogurt,84,48,
68, Vanilla yogurt,80,5,
69, Strawberry yogurt,66,51,
70, Cottage cheese,63,41,
71, Chocolate milk,51,12,
72, Bread,41,45,
73, Hamburger buns,37,58,
74, Hot dog buns,1,41,
75, Bagels,41,59,
76, English muffins,15,40,
77, Tortillas,81,15,
78, Croissants,32,45,
79, White rice,58,50,
80, Brown rice,21,25,
81, Jasmine rice,22,2,
82, Spaghetti,25,6,
83, Penne pasta,20,12,
84, Macaroni,10,21,
85, Lasagna noodles,26,35,
86, Ramen noodles,0,58,
87, Mashed potatoes,0,32,
88, Black beans,41,50,
89, Kidney beans,10,29,
90, Pinto beans,22,63,
91, Chickpeas,34,26,
92, Corn,40,21,
93, Green beans,95,28,
94, Peas,15,35,
95, Olive oil,40,46,
96, Vegetable oil,88,51,
97, Canola oil,6,28,
98, Vinegar,99,50,
99, Soy sauce,72,38,
100, Ketchup,7,27,
101, Mustard,70,24,
102, Mayonnaise,19,56,
103, Barbecue sauce,0,35,
104, Hot sauce,36,40,
105, Salad dressing,20,50,
106, Cheerios,85,64,
107, Frosted Flakes,95,31,
108, Cornflakes,95,53,
109, Oatmeal,85,12,
110, Granola,43,51,
111, Maple syrup,20,46,
112, Peanut butter,31,49,
113, Jelly,99,26,
114, Honey,19,7,
115, Protein bars,40,67,
116, Granola bars,36,55,
117, Potato chips,55,38,
118, Tortilla chips,26,65,
119, Pretzels,27,54,
120, Popcorn,79,3,
121, Trail mix,50,38,
122, Crackers,84,39,
123, Cheese crackers,57,59,
124, Rice cakes,88,57,
125, Broccoli,96,23,
126, Ice cream,55,59,
127, Waffles,88,13,
128, Pancakes,81,35,
129, Burritos,98,29,
130, Fries,3,35,
131, Tater tots,57,58,
132, Onion rings,84,51,
133, Bottled water,49,19,
134, Sparkling water,34,8,
135, Cola soda,57,64,
136, Lemon-lime soda,44,38,
137, Root beer,60,2,
138, Orange juice,71,46,
139, Apple juice,36,60,
140, Grape juice,15,61,
141, Lemonade,15,42,
142, Sweet tea,98,28,
143, Iced coffee,5,50,
144, Ground coffee,92,48,
145, Coffee creamer,61,45,
146, Tea,71,58,
147, Energy drinks,6,38,
148, Paper towels,55,39,
149, Toilet paper,0,40,
150, Napkins,72,66,
151, Aluminum foil,40,48,
152, Plastic wrap,73,24,
153, Zip-top bags,84,18,
154, Dish soap,4,12,
155, Laundry detergent,61,47,
156, Fabric softener,27,38,
157, Sponges,70,53,
158, Trash bags,67,25,
159, Cleaning spray,10,44,
160, Hand soap,34,63,
161, Hand sanitizer,0,27,
162, Toothpaste,84,60,
163, Toothbrush,57,65,
164, Shampoo,35,23,
165, Conditioner,80,12,
166, Deodorant,88,26,
167, Batteries,58,32,
