ID, ITEM, STOCK, PRICE,
1, Bananas,21,25,
2, Apples,55,4,
3, Oranges,7,66,
4, Mandarins,0,61,
5, Grapes,49,32,
6, Strawberries,55,20,
7, Blueberries,45,46,
8, Raspberries,74,45,
9, Blackberries,54,44,
10, Watermelon,32,65,
11, Cantaloupe,57,63,
12, Honeydew melon,26,26,
13, Pineapple,27,32,
14, Lemons,9,3,
15, Limes,31,48,
16, Avocados,95,9,
17, Tomatoes,55,54,
18, Potatoes,34,45,
19, Sweet potatoes,95,1,
20, Onions,7,28,
21, Garlic bulbs,60,48,
22, Bell peppers,55,15,
23, Jalapeño peppers,60,55,
24, Cucumbers,60,55,
25, Zucchini,67,61,
26, Yellow squash,13,15,
27, Broccoli,80,54,
28, Cauliflower,51,40,
29, Carrots,72,58,
30, Baby carrots,46,51,
31, Celery,0,20,
32, Lettuce,88,54,
33, Spinach,0,40,
34, Kale,34,23,
35, Cabbage,99,9,
36, Chicken,27,25,
37, Ground beef,40,15,
38, Steak,59,60,
39, Pork,9,54,
40, Bacon,87,61,
41, Breakfast sausage,88,22,
42, Hot dogs,65,50,
43, Ham,64,12,
44, Turkey,34,4,
45, Salami,35,53,
46, Pepperoni,83,7,
47, Frozen chicken nuggets,84,3,
48, Frozen chicken tenders,38,18,
49, Frozen hamburger patties,30,19,
50, Frozen meatballs,94,67,
51, Frozen pizza,34,61,
52, Frozen fish sticks,34,12,
53, Frozen shrimp,35,65,
54, Tilapia fillets,72,60,
55, Salmon fillets,73,6,
56, Milk,36,2,
57, Heavy cream,0,60,
58, Half and half,51,15,
59, Butter,93,28,
60, Margarine,55,42,
61, Eggs,34,28,
62, Cheddar cheese,0,40,
63, Mozzarella,43,65,
64, Parmesan cheese,19,14,
65, Cream cheese,71,24,
66, Sour cream,30,15,
67, Greek yogurt,7,22,
68, Vanilla yogurt,26,11,
69, Strawberry yogurt,43,22,
70, Cottage cheese,57,2,
71, Chocolate milk,81,13,
72, Bread,96,35,
73, Hamburger buns,27,38,
74, Hot dog buns,60,61,
75, Bagels,44,18,
76, English muffins,19,51,
77, Tortillas,51,61,
78, Croissants,73,56,
79, White rice,75,23,
80, Brown rice,0,55,
81, Jasmine rice,22,48,
82, Spaghetti,55,38,
83, Penne pasta,66,62,
84, Macaroni,44,39,
85, Lasagna noodles,43,36,
86, Ramen noodles,70,58,
87, Mashed potatoes,74,4,
88, Black beans,93,51,
89, Kidney beans,37,8,
90, Pinto beans,41,7,
91, Chickpeas,58,24,
92, Corn,88,42,
93, Green beans,0,66,
94, Peas,63,1,
95, Olive oil,34,50,
96, Vegetable oil,76,63,
97, Canola oil,74,19,
98, Vinegar,60,66,
99, Soy sauce,51,46,
100, Ketchup,55,60,
101, Mustard,55,18,
102, Mayonnaise,75,65,
103, Barbecue sauce,44,27,
104, Hot sauce,19,43,
105, Salad dressing,34,61,
106, Cheerios,43,58,
107, Frosted Flakes,58,20,
108, Cornflakes,0,3,
109, Oatmeal,64,12,
110, Granola,10,31,
111, Maple syrup,44,58,
112, Peanut butter,80,35,
113, Jelly,71,63,
114, Honey,1,40,
115, Protein bars,46,9,
116, Granola bars,78,18,
117, Potato chips,89,44,
118, Tortilla chips,75,15,
119, Pretzels,67,33,
120, Popcorn,12,43,
121, Trail mix,9,3,
122, Crackers,67,25,
123, Cheese crackers,63,26,
124, Rice cakes,54,53,
125, Broccoli,51,60,
126, Ice cream,49,18,
127, Waffles,22,35,
128, Pancakes,38,55,
129, Burritos,67,48,
130, Fries,64,38,
131, Tater tots,60,48,
132, Onion rings,59,48,
133, Bottled water,0,57,
134, Sparkling water,95,37,
135, Cola soda,46,37,
136, Lemon-lime soda,51,25,
137, Root beer,40,51,
138, Orange juice,100,35,
139, Apple juice,0,26,
140, Grape juice,57,12,
141, Lemonade,15,27,
142, Sweet tea,21,11,
143, Iced coffee,40,5,
144, Ground coffee,21,46,
145, Coffee creamer,72,43,
146, Tea,43,26,
147, Energy drinks,90,7,
148, Paper towels,88,28,
149, Toilet paper,14,32,
150, Napkins,26,51,
151, Aluminum foil,61,64,
152, Plastic wrap,46,22,
153, Zip-top bags,36,9,
154, Dish soap,22,20,
155, Laundry detergent,52,11,
156, Fabric softener,88,32,
157, Sponges,40,21,
158, Trash bags,0,7,
159, Cleaning spray,95,33,
160, Hand soap,42,35,
161, Hand sanitizer,49,16,
162, Toothpaste,95,40,
163, Toothbrush,22,61,
164, Shampoo,64,50,
165, Conditioner,13,41,
166, Deodorant,56,6,
167, Batteries,10,51,
