ID, ITEM, STOCK, PRICE,
1, Bananas,46,66,
2, Apples,11,6,
3, Oranges,64,25,
4, Mandarins,70,45,
5, Grapes,8,58,
6, Strawberries,40,44,
7, Blueberries,99,66,
8, Raspberries,36,15,
9, Blackberries,86,5,
10, Watermelon,27,17,
11, Cantaloupe,36,38,
12, Honeydew melon,61,54,
13, Pineapple,80,27,
14, Lemons,7,28,
15, Limes,1,6,
16, Avocados,64,60,
17, Tomatoes,65,55,
18, Potatoes,81,35,
19, Sweet potatoes,60,14,
20, Onions,19,12,
21, Garlic bulbs,27,18,
22, Bell peppers,73,24,
23, Jalapeño peppers,84,59,
24, Cucumbers,6,21,
25, Zucchini,58,49,
26, Yellow squash,14,10,
27, Broccoli,84,26,
28, Cauliflower,84,11,
29, Carrots,38,54,
30, Baby carrots,0,19,
31, Celery,54,39,
32, Lettuce,45,9,
33, Spinach,84,21,
34, Kale,99,64,
35, Cabbage,54,66,
36, Chicken,100,7,
37, Ground beef,70,41,
38, Steak,36,23,
39, Pork,71,35,
40, Bacon,12,45,
41, Breakfast sausage,28,26,
42, Hot dogs,90,56,
43, Ham,72,15,
44, Turkey,26,32,
45, Salami,0,54,
46, Pepperoni,74,28,
47, Frozen chicken nuggets,78,39,
48, Frozen chicken tenders,94,36,
49, Frozen hamburger patties,54,44,
50, Frozen meatballs,93,19,
51, Frozen pizza,66,40,
52, Frozen fish sticks,64,50,
53, Frozen shrimp,21,8,
54, Tilapia fillets,27,49,
55, Salmon fillets,81,8,
56, Milk,41,63,
57, Heavy cream,9,18,
58, Half and half,84,13,
59, Butter,34,18,
60, Margarine,51,46,
61, Eggs,26,59,
62, Cheddar cheese,73,55,
63, Mozzarella,0,33,
64, Parmesan cheese,11,45,
65, Cream cheese,32,48,
66, Sour cream,7,61,
67, Greek yogurt,19,41,
68, Vanilla yogurt,99,54,
69, Strawberry yogurt,5,6,
70, Cottage cheese,36,3,
71, Chocolate milk,38,61,
72, Bread,5,49,
73, Hamburger buns,72,54,
74, Hot dog buns,60,60,
75, Bagels,99,46,
76, English muffins,8,3,
77, Tortillas,10,3,
78, Croissants,29,29,
79, White rice,78,66,
80, Brown rice,12,37,
81, Jasmine rice,11,54,
82, Spaghetti,91,66,
83, Penne pasta,19,6,
84, Macaroni,43,28,
85, Lasagna noodles,12,67,
86, Ramen noodles,41,22,
87, Mashed potatoes,0,13,
88, Black beans,75,43,
89, Kidney beans,36,56,
90, Pinto beans,40,32,
91, Chickpeas,15,38,
92, Corn,71,44,
93, Green beans,2,7,
94, Peas,78,11,
95, Olive oil,19,45,
96, Vegetable oil,60,66,
97, Canola oil,70,3,
98, Vinegar,20,29,
99, Soy sauce,40,3,
100, Ketchup,20,67,
101, Mustard,49,32,
102, Mayonnaise,67,33,
103, Barbecue sauce,56,36,
104, Hot sauce,15,7,
105, Salad dressing,92,58,
106, Cheerios,57,13,
107, Frosted Flakes,88,36,
108, Cornflakes,0,24,
109, Oatmeal,88,18,
110, Granola,32,35,
111, Maple syrup,99,45,
112, Peanut butter,26,33,
113, Jelly,33,48,
114, Honey,41,42,
115, Protein bars,78,17,
116, Granola bars,99,17,
117, Potato chips,71,23,
118, Tortilla chips,41,6,
119, Pretzels,10,35,
120, Popcorn,0,27,
121, Trail mix,88,33,
122, Crackers,72,25,
123, Cheese crackers,78,25,
124, Rice cakes,57,59,
125, Broccoli,66,25,
126, Ice cream,99,17,
127, Waffles,72,26,
128, Pancakes,41,24,
129, Burritos,20,46,
130, Fries,67,21,
131, Tater tots,9,4,
132, Onion rings,84,67,
133, Bottled water,9,33,
134, Sparkling water,6,32,
135, Cola soda,86,38,
136, Lemon-lime soda,72,45,
137, Root beer,6,33,
138, Orange juice,87,60,
139, Apple juice,20,65,
140, Grape juice,60,65,
141, Lemonade,19,6,
142, Sweet tea,63,6,
143, Iced coffee,41,60,
144, Ground coffee,2,60,
145, Coffee creamer,58,38,
146, Tea,43,59,
147, Energy drinks,32,25,
148, Paper towels,20,33,
149, Toilet paper,96,61,
150, Napkins,0,54,
151, Aluminum foil,37,53,
152, Plastic wrap,57,37,
153, Zip-top bags,42,32,
154, Dish soap,40,67,
155, Laundry detergent,19,20,
156, Fabric softener,56,34,
157, Sponges,75,54,
158, Trash bags,51,67,
159, Cleaning spray,9,51,
160, Hand soap,38,45,
161, Hand sanitizer,70,28,
162, Toothpaste,84,15,
163, Toothbrush,64,3,
164, Shampoo,64,58,
165, Conditioner,60,29,
166, Deodorant,0,20,
167, Batteries,7,59,
