ID, ITEM, STOCK, PRICE,
1, Bananas,44,55,
2, Apples,44,41,
3, Oranges,32,45,
4, Mandarins,35,12,
5, Grapes,61,39,
6, Strawberries,15,45,
7, Blueberries,96,56,
8, Raspberries,67,15,
9, Blackberries,12,39,
10, Watermelon,69,20,
11, Cantaloupe,13,57,
12, Honeydew melon,28,33,
13, Pineapple,100,66,
14, Lemons,57,45,
15, Limes,34,12,
16, Avocados,19,60,
17, Tomatoes,21,12,
18, Potatoes,42,35,
19, Sweet potatoes,69,56,
20, Onions,28,45,
21, Garlic bulbs,44,61,
22, Bell peppers,93,54,
23, Jalapeño peppers,64,21,
24, Cucumbers,27,50,
25, Zucchini,43,54,
26, Yellow squash,19,31,
27, Broccoli,41,36,
28, Cauliflower,6,58,
29, Carrots,40,43,
30, Baby carrots,58,41,
31, Celery,55,3,
32, Lettuce,60,25,
33, Spinach,25,42,
34, Kale,55,41,
35, Cabbage,82,60,
36, Chicken,72,6,
37, Ground beef,83,26,
38, Steak,40,15,
39, Pork,84,51,
40, Bacon,88,13,
41, Breakfast sausage,9,42,
42, Hot dogs,0,41,
43, Ham,72,60,
44, Turkey,88,32,
45, Salami,15,50,
46, Pepperoni,20,37,
47, Frozen chicken nuggets,34,46,
48, Frozen chicken tenders,27,13,
49, Frozen hamburger patties,0,40,
50, Frozen meatballs,0,9,
51, Frozen pizza,0,6,
52, Frozen fish sticks,60,58,
53, Frozen shrimp,99,23,
54, Tilapia fillets,1,55,
55, Salmon fillets,0,67,
56, Milk,15,53,
57, Heavy cream,84,58,
58, Half and half,19,42,
59, Butter,19,60,
60, Margarine,78,53,
61, Eggs,0,3,
62, Cheddar cheese,62,67,
63, Mozzarella,95,3,
64, Parmesan cheese,72,6,
65, Cream cheese,52,18,
66, Sour cream,67,46,
67, Greek yogurt,19,22,
68, Vanilla yogurt,27,46,
69, Strawberry yogurt,6,45,
70, Cottage cheese,89,33,
71, Chocolate milk,0,50,
72, Bread,75,4,
73, Hamburger buns,26,58,
74, Hot dog buns,7,8,
75, Bagels,7,55,
76, English muffins,62,58,
77, Tortillas,52,26,
78, Croissants,26,40,
79, White rice,88,31,
80, Brown rice,42,62,
81, Jasmine rice,20,54,
82, Spaghetti,99,59,
83, Penne pasta,11,55,
84, Macaroni,82,38,
85, Lasagna noodles,10,25,
86, Ramen noodles,55,60,
87, Mashed potatoes,20,6,
88, Black beans,99,33,
89, Kidney beans,100,14,
90, Pinto beans,0,54,
91, Chickpeas,75,15,
92, Corn,36,36,
93, Green beans,61,2,
94, Peas,38,12,
95, Olive oil,60,13,
96, Vegetable oil,58,28,
97, Canola oil,60,58,
98, Vinegar,86,18,
99, Soy sauce,60,64,
100, Ketchup,0,27,
101, Mustard,57,29,
102, Mayonnaise,0,12,
103, Barbecue sauce,84,35,
104, Hot sauce,41,28,
105, Salad dressing,98,23,
106, Cheerios,0,41,
107, Frosted Flakes,7,40,
108, Cornflakes,36,48,
109, Oatmeal,95,20,
110, Granola,40,66,
111, Maple syrup,38,10,
112, Peanut butter,35,32,
113, Jelly,87,54,
114, Honey,5,54,
115, Protein bars,6,60,
116, Granola bars,45,63,
117, Potato chips,40,41,
118, Tortilla chips,42,32,
119, Pretzels,7,32,
120, Popcorn,99,38,
121, Trail mix,13,35,
122, Crackers,21,50,
123, Cheese crackers,30,21,
124, Rice cakes,38,5,
125, Broccoli,8,12,
126, Ice cream,60,35,
127, Waffles,27,8,
128, Pancakes,89,3,
129, Burritos,37,10,
130, Fries,73,41,
131, Tater tots,69,39,
132, Onion rings,28,62,
133, Bottled water,0,37,
134, Sparkling water,78,18,
135, Cola soda,58,12,
136, Lemon-lime soda,80,1,
137, Root beer,74,44,
138, Orange juice,90,64,
139, Apple juice,55,4,
140, Grape juice,34,58,
141, Lemonade,34,47,
142, Sweet tea,90,25,
143, Iced coffee,41,62,
144, Ground coffee,83,44,
145, Coffee creamer,87,53,
146, Tea,0,24,
147, Energy drinks,83,38,
148, Paper towels,57,9,
149, Toilet paper,57,58,
150, Napkins,35,42,
151, Aluminum foil,12,6,
152, Plastic wrap,62,38,
153, Zip-top bags,10,12,
154, Dish soap,44,1,
155, Laundry detergent,49,34,
156, Fabric softener,18,20,
157, Sponges,40,50,
158, Trash bags,15,38,
159, Cleaning spray,70,60,
160, Hand soap,36,60,
161, Hand sanitizer,27,35,
162, Toothpaste,10,42,
163, Toothbrush,67,54,
164, Shampoo,100,65,
165, Conditioner,95,25,
166, Deodorant,64,19,
167, Batteries,67,67,
